Epoch: 2.46078e+06 | MSE: 2892.3 | RK45-a: 7721.69 | SGP4-a: 7709.3
Epoch: 2.46078e+06 | MSE: 6758.9 | RK45-a: 7721.68 | SGP4-a: 7711.79
Epoch: 2.46078e+06 | MSE: 4584.53 | RK45-a: 7721.68 | SGP4-a: 7714.74
Epoch: 2.46078e+06 | MSE: 5173.73 | RK45-a: 7721.69 | SGP4-a: 7717.66
Epoch: 2.46078e+06 | MSE: 6497.2 | RK45-a: 7721.7 | SGP4-a: 7719.99
Epoch: 2.46078e+06 | MSE: 3125.71 | RK45-a: 7721.71 | SGP4-a: 7721.35
Epoch: 2.46078e+06 | MSE: 2979.89 | RK45-a: 7721.7 | SGP4-a: 7721.49
Epoch: 2.46078e+06 | MSE: 3386.76 | RK45-a: 7721.69 | SGP4-a: 7720.38
Epoch: 2.46078e+06 | MSE: 1338.58 | RK45-a: 7721.68 | SGP4-a: 7718.23
Epoch: 2.46078e+06 | MSE: 4288.71 | RK45-a: 7721.69 | SGP4-a: 7715.4
Epoch: 2.46078e+06 | MSE: 3264.12 | RK45-a: 7721.71 | SGP4-a: 7712.41
Epoch: 2.46078e+06 | MSE: 3926.28 | RK45-a: 7721.72 | SGP4-a: 7709.77
Epoch: 2.46078e+06 | MSE: 6413.87 | RK45-a: 7721.71 | SGP4-a: 7707.96
Epoch: 2.46078e+06 | MSE: 4175.25 | RK45-a: 7721.69 | SGP4-a: 7707.29
Epoch: 2.46078e+06 | MSE: 9785.8 | RK45-a: 7721.69 | SGP4-a: 7707.88
Epoch: 2.46078e+06 | MSE: 4921.54 | RK45-a: 7721.69 | SGP4-a: 7709.62
Epoch: 2.46078e+06 | MSE: 9260.66 | RK45-a: 7721.71 | SGP4-a: 7712.21
Epoch: 2.46078e+06 | MSE: 7272.83 | RK45-a: 7721.72 | SGP4-a: 7715.2
Epoch: 2.46078e+06 | MSE: 3163.91 | RK45-a: 7721.71 | SGP4-a: 7718.05
Epoch: 2.46078e+06 | MSE: 5277.71 | RK45-a: 7721.7 | SGP4-a: 7720.26
Epoch: 2.46078e+06 | MSE: 2133.14 | RK45-a: 7721.69 | SGP4-a: 7721.45
Epoch: 2.46078e+06 | MSE: 2625.17 | RK45-a: 7721.7 | SGP4-a: 7721.4
Epoch: 2.46078e+06 | MSE: 3002.69 | RK45-a: 7721.71 | SGP4-a: 7720.12
Epoch: 2.46078e+06 | MSE: 1863.01 | RK45-a: 7721.72 | SGP4-a: 7717.84
Epoch: 2.46078e+06 | MSE: 5965 | RK45-a: 7721.71 | SGP4-a: 7714.95
Epoch: 2.46078e+06 | MSE: 5058.39 | RK45-a: 7721.7 | SGP4-a: 7711.98
Epoch: 2.46078e+06 | MSE: 6110.23 | RK45-a: 7721.69 | SGP4-a: 7709.44
Epoch: 2.46078e+06 | MSE: 8575.08 | RK45-a: 7721.7 | SGP4-a: 7707.78
Epoch: 2.46078e+06 | MSE: 6560.97 | RK45-a: 7721.7 | SGP4-a: 7707.3
Epoch: 2.46078e+06 | MSE: 11922.6 | RK45-a: 7721.71 | SGP4-a: 7708.07
Epoch: 2.46078e+06 | MSE: 6467.57 | RK45-a: 7721.71 | SGP4-a: 7709.96
Epoch: 2.46078e+06 | MSE: 7424.99 | RK45-a: 7721.7 | SGP4-a: 7712.65
Epoch: 2.46078e+06 | MSE: 5353.61 | RK45-a: 7721.69 | SGP4-a: 7715.64
Epoch: 2.46078e+06 | MSE: 2162.48 | RK45-a: 7721.69 | SGP4-a: 7718.44
Epoch: 2.46078e+06 | MSE: 5188.98 | RK45-a: 7721.7 | SGP4-a: 7720.51
Epoch: 2.46078e+06 | MSE: 1813.24 | RK45-a: 7721.7 | SGP4-a: 7721.53
Epoch: 2.46078e+06 | MSE: 3137.16 | RK45-a: 7721.7 | SGP4-a: 7721.29
