Epoch,Position_X_km,Position_Y_km,Position_Z_km,Velocity_X_kmps,Velocity_Y_kmps,Velocity_Z_kmps
2460387.965683,3362.183420,-1167.007378,-6846.099319,4.927220,4.986689,1.569314
2460387.965689,3538.517799,-985.957950,-6785.447006,4.819236,5.020379,1.783098
2460387.965696,3710.846001,-803.792254,-6717.095383,4.705788,5.048388,1.994874
2460387.965703,3878.972594,-620.716459,-6641.121414,4.587002,5.070682,2.204405
2460387.965710,4042.706843,-436.937793,-6557.610669,4.463011,5.087237,2.411452
2460387.965717,4201.862924,-252.664314,-6466.657241,4.333955,5.098032,2.615781
2460387.965724,4356.260132,-68.104672,-6368.363638,4.199976,5.103053,2.817162
2460387.965731,4505.723092,116.532114,-6262.840683,4.061226,5.102295,3.015366
2460387.965738,4650.081950,301.036896,-6150.207388,3.917859,5.095757,3.210169
2460387.965745,4789.172574,485.200625,-6030.590831,3.770037,5.083444,3.401349
2460387.965752,4922.836740,668.814593,-5904.126018,3.617925,5.065370,3.588689
2460387.965759,5050.922312,851.670657,-5770.955741,3.461693,5.041553,3.771977
2460387.965766,5173.283420,1033.561483,-5631.230418,3.301519,5.012018,3.951004
2460387.965773,5289.780629,1214.280772,-5485.107935,3.137581,4.976798,4.125565
2460387.965780,5400.281102,1393.623499,-5332.753471,2.970064,4.935932,4.295461
2460387.965787,5504.658755,1571.386142,-5174.339322,2.799157,4.889463,4.460499
2460387.965794,5602.794407,1747.366914,-5010.044706,2.625052,4.837443,4.620489
2460387.965801,5694.575918,1921.365995,-4840.055573,2.447947,4.779929,4.775249
2460387.965808,5779.898327,2093.185757,-4664.564393,2.268041,4.716986,4.924601
2460387.965815,5858.663974,2262.630993,-4483.769948,2.085538,4.648683,5.068374
2460387.965822,5930.782620,2429.509141,-4297.877109,1.900644,4.575096,5.206403
2460387.965829,5996.171554,2593.630503,-4107.096609,1.713569,4.496308,5.338528
2460387.965836,6054.755699,2754.808468,-3911.644805,1.524526,4.412407,5.464597
2460387.965843,6106.467699,2912.859726,-3711.743436,1.333728,4.323487,5.584466
2460387.965850,6151.248005,3067.604482,-3507.619372,1.141393,4.229648,5.697996
2460387.965857,6189.044950,3218.866661,-3299.504363,0.947740,4.130996,5.805056
2460387.965864,6219.814817,3366.474118,-3087.634769,0.752989,4.027642,5.905522
2460387.965871,6243.521888,3510.258838,-2872.251293,0.557362,3.919703,5.999277
2460387.965878,6260.138500,3650.057130,-2653.598712,0.361081,3.807301,6.086213
2460387.965885,6269.645077,3785.709819,-2431.925589,0.164372,3.690565,6.166230
2460387.965892,6272.030159,3917.062438,-2207.483995,-0.032542,3.569625,6.239234
2460387.965899,6267.290420,4043.965402,-1980.529213,-0.229435,3.444621,6.305140
2460387.965906,6255.430679,4166.274188,-1751.319450,-0.426082,3.315693,6.363872
2460387.965913,6236.463895,4283.849504,-1520.115535,-0.622259,3.182990,6.415362
2460387.965920,6210.411160,4396.557454,-1287.180618,-0.817741,3.046662,6.459549
2460387.965927,6177.301673,4504.269693,-1052.779866,-1.012304,2.906864,6.496382
2460387.965934,6137.172713,4606.863581,-817.180156,-1.205725,2.763757,6.525818
2460387.965941,6090.069598,4704.222324,-580.649763,-1.397783,2.617504,6.547823
2460387.965948,6036.045631,4796.235114,-343.458049,-1.588258,2.468273,6.562371
2460387.965955,5975.162046,4882.797258,-105.875152,-1.776932,2.316233,6.569445
2460387.965962,5907.487929,4963.810300,131.828334,-1.963588,2.161560,6.569037
2460387.965969,5833.100148,5039.182135,369.381668,-2.148013,2.004429,6.561146
2460387.965976,5752.083257,5108.827120,606.514281,-2.329995,1.845022,6.545782
2460387.965983,5664.529400,5172.666170,842.956090,-2.509327,1.683521,6.522963
2460387.965990,5570.538204,5230.626847,1078.437815,-2.685804,1.520110,6.492716
2460387.965997,5470.216659,5282.643451,1312.691288,-2.859222,1.354977,6.455075
2460387.966004,5363.678997,5328.657088,1545.449768,-3.029384,1.188311,6.410084
2460387.966011,5251.046553,5368.615738,1776.448250,-3.196096,1.020302,6.357795
2460387.966018,5132.447622,5402.474315,2005.423772,-3.359167,0.851144,6.298270
2460387.966025,5008.017314,5430.194716,2232.115722,-3.518411,0.681030,6.231577
2460387.966031,4877.897385,5451.745859,2456.266136,-3.673647,0.510154,6.157793
2460387.966038,4742.236077,5467.103720,2677.620000,-3.824698,0.338711,6.077004
2460387.966045,4601.187940,5476.251358,2895.925539,-3.971391,0.166899,5.989305
